gt_value,prediction,error,absolute_error,relative_error,absolute_relative_error,relative_error_percent,absolute_relative_error_percent
318150,302403.52154029766,-15746.478459702339,15746.478459702339,-0.04949388169009065,0.04949388169009065,-4.949388169009064,4.949388169009064
311850,301002.5790190734,-10847.420980926603,10847.420980926603,-0.03478409806293604,0.03478409806293604,-3.478409806293604,3.478409806293604
514800,508506.98821957095,-6293.011780429049,6293.011780429049,-0.012224187607671036,0.012224187607671036,-1.2224187607671035,1.2224187607671035
940500,989302.9209522954,48802.92095229542,48802.92095229542,0.051890399736624584,0.051890399736624584,5.189039973662458,5.189039973662458
1039500,994615.8021715204,-44884.19782847958,44884.19782847958,-0.04317864148963884,0.04317864148963884,-4.317864148963884,4.317864148963884
381150,407810.88428499235,26660.884284992353,26660.884284992353,0.06994853544534266,0.06994853544534266,6.994853544534266,6.994853544534266
732600,709437.3649367014,-23162.63506329863,23162.63506329863,-0.031617028478431106,0.031617028478431106,-3.1617028478431104,3.1617028478431104
554400,517199.72043180995,-37200.279568190046,37200.279568190046,-0.06710007137119417,0.06710007137119417,-6.710007137119417,6.710007137119417
419150,433208.80203266675,14058.802032666747,14058.802032666747,0.03354121921189728,0.03354121921189728,3.354121921189728,3.354121921189728
414100,406484.41121757193,-7615.588782428065,7615.588782428065,-0.01839069978852467,0.01839069978852467,-1.839069978852467,1.839069978852467
681750,682984.2363800637,1234.2363800636958,1234.2363800636958,0.0018103943968664404,0.0018103943968664404,0.18103943968664404,0.18103943968664404
346500,350592.2868232144,4092.286823214381,4092.286823214381,0.011810351582148286,0.011810351582148286,1.1810351582148286,1.1810351582148286
934250,982253.119164393,48003.11916439305,48003.11916439305,0.05138144946683763,0.05138144946683763,5.138144946683763,5.138144946683763
495000,478701.0515759351,-16298.948424064904,16298.948424064904,-0.03292716853346445,0.03292716853346445,-3.2927168533464455,3.2927168533464455
262600,266893.13437146076,4293.134371460765,4293.134371460765,0.01634856957905851,0.01634856957905851,1.634856957905851,1.634856957905851
871200,818408.3883766315,-52791.61162336846,52791.61162336846,-0.06059643207457353,0.06059643207457353,-6.059643207457353,6.059643207457353
368650,357810.5408105168,-10839.459189483197,10839.459189483197,-0.029403117291423295,0.029403117291423295,-2.9403117291423295,2.9403117291423295
905850,963717.2828851128,57867.2828851128,57867.2828851128,0.06388174961098725,0.06388174961098725,6.388174961098725,6.388174961098725
519750,532939.0839452188,13189.083945218823,13189.083945218823,0.025375822886423902,0.025375822886423902,2.5375822886423904,2.5375822886423904
580750,614542.2445907758,33792.24459077581,33792.24459077581,0.058187248542016026,0.058187248542016026,5.818724854201602,5.818724854201602
673200,703490.4585069587,30290.458506958676,30290.458506958676,0.04499473931514955,0.04499473931514955,4.499473931514955,4.499473931514955
287850,306584.1921177164,18734.19211771642,18734.19211771642,0.06508317567384547,0.06508317567384547,6.508317567384547,6.508317567384547
267650,271796.28166142554,4146.281661425543,4146.281661425543,0.01549143157640778,0.01549143157640778,1.5491431576407781,1.5491431576407781
444400,451670.5888589455,7270.588858945528,7270.588858945528,0.01636046097872531,0.01636046097872531,1.6360460978725309,1.6360460978725309
297950,299600.38058344484,1650.380583444843,1650.380583444843,0.005539119259757822,0.005539119259757822,0.5539119259757822,0.5539119259757822
